Rank,Country,Gold,Silver,Bronze
1,United States,40,44,42
2,China,40,27,24
3,Japan,20,12,13
4,Australia,18,19,16
5,France,16,26,22
6,Netherlands,15,7,12
7,Great Britain,14,22,29
8,South Korea,13,9,10
9,Italy,12,13,15
10,Germany,12,13,8
11,New Zealand,10,7,3
12,Canada,9,7,11
13,Uzbekistan,8,2,3
14,Hungary,6,7,6
15,Spain,5,4,9
16,Sweden,4,4,3
17,Kenya,4,2,5
18,Norway,4,1,3
19,Ireland,4,0,3
20,Brazil,3,7,10
21,Iran,3,6,3
22,Ukraine,3,5,4
23,Romania,3,4,2
24,Georgia,3,3,1
25,Belgium,3,1,6
26,Bulgaria,3,1,3
27,Serbia,3,1,1
28,Czech Republic,3,0,2
29,Denmark,2,2,5
30,Azerbaijan,2,2,3
30,Croatia,2,2,3
32,Cuba,2,1,6
33,Bahrain,2,1,1
34,Slovenia,2,1,0
35,Chinese Taipei,2,0,5
36,Austria,2,0,3
37,Hong Kong,2,0,2
37,Philippines,2,0,2
39,Algeria,2,0,1
39,Indonesia,2,0,1
41,Israel,1,5,1
42,Poland,1,4,5
43,Kazakhstan,1,3,3
44,Jamaica,1,3,2
44,South Africa,1,3,2
44,Thailand,1,3,2
–,Individual Neutral Athletes,1,3,1
47,Ethiopia,1,3,0
48,Switzerland,1,2,5
49,Ecuador,1,2,2
50,Portugal,1,2,1
51,Greece,1,1,6
52,Argentina,1,1,1
52,Egypt,1,1,1
52,Tunisia,1,1,1
55,Botswana,1,1,0
55,Chile,1,1,0
55,Saint Lucia,1,1,0
55,Uganda,1,1,0
59,Dominican Republic,1,0,2
60,Guatemala,1,0,1
60,Morocco,1,0,1
62,Dominica,1,0,0
62,Pakistan,1,0,0
64,Turkey,0,3,5
65,Mexico,0,3,2
66,Armenia,0,3,1
66,Colombia,0,3,1
68,Kyrgyzstan,0,2,4
68,North Korea,0,2,4
70,Lithuania,0,2,2
71,India,0,1,5
72,Moldova,0,1,3
73,Kosovo,0,1,1
74,Cyprus,0,1,0
74,Fiji,0,1,0
74,Jordan,0,1,0
74,Mongolia,0,1,0
74,Panama,0,1,0
79,Tajikistan,0,0,3
80,Albania,0,0,2
80,Grenada,0,0,2
80,Malaysia,0,0,2
80,Puerto Rico,0,0,2
84,Cape Verde,0,0,1
84,Ivory Coast,0,0,1
84,Peru,0,0,1
84,Qatar,0,0,1
84,Refugee Olympic Team,0,0,1
84,Singapore,0,0,1
84,Slovakia,0,0,1
84,Zambia,0,0,1
