Year,1,2,3,4,5,6,7,8,9,10,11,12
1880,-.20,-.25,-.09,-.16,-.09,-.22,-.19,-.09,-.15,-.22,-.22,-.19
1881,-.20,-.15,.02,.04,.07,-.19,.01,-.04,-.16,-.22,-.18,-.07
1882,.16,.14,.05,-.16,-.13,-.22,-.16,-.07,-.14,-.23,-.17,-.36
1883,-.29,-.36,-.12,-.18,-.18,-.07,-.07,-.14,-.22,-.11,-.24,-.11
1884,-.13,-.08,-.36,-.40,-.33,-.35,-.31,-.28,-.27,-.25,-.33,-.31
1885,-.58,-.34,-.27,-.42,-.45,-.43,-.33,-.31,-.28,-.23,-.24,-.10
1886,-.44,-.51,-.43,-.28,-.24,-.34,-.18,-.31,-.24,-.28,-.28,-.26
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.26,-.33
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.10,-.15,-.12,.01,.03,-.04
1889,-.09,.16,.06,.09,-.01,-.10,-.08,-.20,-.24,-.25,-.34,-.29
1890,-.42,-.45,-.40,-.30,-.39,-.25,-.28,-.39,-.36,-.25,-.44,-.32
1891,-.34,-.46,-.18,-.27,-.16,-.21,-.17,-.17,-.15,-.22,-.31,-.04
1892,-.29,-.12,-.40,-.33,-.23,-.22,-.31,-.27,-.17,-.14,-.42,-.39
1893,-.81,-.56,-.22,-.28,-.34,-.25,-.14,-.25,-.22,-.18,-.19,-.32
1894,-.53,-.29,-.23,-.45,-.31,-.41,-.24,-.24,-.28,-.23,-.26,-.21
1895,-.41,-.43,-.33,-.22,-.27,-.21,-.17,-.17,-.12,-.11,-.17,-.14
1896,-.22,-.13,-.26,-.30,-.16,-.11,-.02,-.05,-.07,.06,-.05,-.05
1897,-.16,-.17,-.14,-.02,-.02,-.11,-.02,-.09,-.08,-.13,-.18,-.20
1898,-.03,-.30,-.51,-.31,-.30,-.19,-.22,-.27,-.21,-.34,-.38,-.23
1899,-.17,-.38,-.36,-.20,-.23,-.31,-.16,-.08,-.05,-.04,.12,-.26
1900,-.36,-.06,.01,-.09,-.09,-.10,-.13,-.09,-.05,.09,-.07,-.07
1901,-.22,-.11,.06,-.02,-.14,-.12,-.14,-.20,-.22,-.29,-.16,-.27
1902,-.16,-.09,-.27,-.27,-.32,-.31,-.27,-.30,-.29,-.30,-.36,-.42
1903,-.24,-.06,-.23,-.41,-.40,-.42,-.34,-.45,-.49,-.46,-.42,-.51
1904,-.62,-.58,-.50,-.50,-.51,-.48,-.50,-.48,-.55,-.38,-.17,-.33
1905,-.34,-.58,-.21,-.33,-.29,-.28,-.26,-.20,-.18,-.25,-.07,-.13
1906,-.28,-.28,-.17,-.04,-.25,-.18,-.23,-.19,-.27,-.19,-.37,-.13
1907,-.42,-.50,-.26,-.36,-.45,-.41,-.35,-.34,-.34,-.22,-.46,-.47
1908,-.44,-.32,-.55,-.44,-.37,-.37,-.34,-.45,-.35,-.44,-.52,-.49
1909,-.73,-.45,-.54,-.58,-.54,-.52,-.45,-.33,-.38,-.39,-.32,-.56
1910,-.42,-.41,-.50,-.42,-.34,-.39,-.34,-.37,-.38,-.41,-.57,-.67
1911,-.61,-.57,-.60,-.53,-.51,-.50,-.42,-.43,-.40,-.26,-.21,-.21
1912,-.25,-.14,-.37,-.17,-.21,-.23,-.42,-.54,-.58,-.57,-.39,-.43
1913,-.40,-.44,-.42,-.39,-.44,-.45,-.36,-.33,-.34,-.32,-.20,-.02
