Month,Year,Rain
Jan,1984,259.3
Feb,1984,32.5
Mar,1984,54
Apr,1984,96.8
May,1984,113
Jun,1984,0.1
Jul,1984,26.7
Aug,1984,110.6
Sep,1984,162.5
Oct,1984,31.1
Nov,1984,140
Dec,1984,139.6
Jan,1985,190.1
Feb,1985,281.4
Mar,1985,166.9
Apr,1985,31.4
May,1985,107.2
Jun,1985,14.2
Jul,1985,0.6
Aug,1985,21.6
Sep,1985,110.1
Oct,1985,11.2
Nov,1985,86
Dec,1985,176.3
Jan,1986,250.7
Feb,1986,268.4
Mar,1986,230.6
Apr,1986,84.9
May,1986,84.6
Jun,1986,2.4
Jul,1986,28.1
Aug,1986,97.2
Sep,1986,34.7
Oct,1986,43.9
Nov,1986,155.6
Dec,1986,383.2
Jan,1987,442.3
Feb,1987,177.5
Mar,1987,178.5
Apr,1987,91.5
May,1987,241.2
Jun,1987,195.9
Jul,1987,10.7
Aug,1987,17.4
Sep,1987,59.2
Oct,1987,89.9
Nov,1987,96.1
Dec,1987,146.3
Jan,1988,293.4
Feb,1988,284.7
Mar,1988,203.6
Apr,1988,173.4
May,1988,210.8
Jun,1988,58.8
Jul,1988,2.2
Aug,1988,2.6
Sep,1988,34.7
Oct,1988,170.1
Nov,1988,85.7
Dec,1988,279.6
Jan,1989,359.2
Feb,1989,326.5
Mar,1989,185.1
Apr,1989,96.2
May,1989,30.4
Jun,1989,44.4
Jul,1989,144.7
Aug,1989,32.3
Sep,1989,82.2
Oct,1989,65.4
Nov,1989,82.4
Dec,1989,121.7
Jan,1990,280.7
Feb,1990,152.8
Mar,1990,228.8
Apr,1990,77.1
May,1990,52.8
Jun,1990,39.2
Jul,1990,121
Aug,1990,49.6
Sep,1990,96.1
Oct,1990,117.6
Nov,1990,76
Dec,1990,124.7
Jan,1991,270.7
Feb,1991,358
Mar,1991,451.3
Apr,1991,169
May,1991,34.2
Jun,1991,85.8
Jul,1991,26.2
Aug,1991,39.3
Sep,1991,65.6
Oct,1991,153.9
Nov,1991,48
Dec,1991,220.6
Jan,1992,203.4
Feb,1992,184
Mar,1992,273.7
Apr,1992,59.3
May,1992,71.4
Jun,1992,18.6
Jul,1992,39.1
Aug,1992,25.8
Sep,1992,180.6
Oct,1992,177.5
Nov,1992,213.8
Dec,1992,201
Jan,1993,248.7
Feb,1993,265.6
Mar,1993,92.5
Apr,1993,118.4
May,1993,101.2
Jun,1993,57.5
Jul,1993,15.2
Aug,1993,52.1
Sep,1993,206.7
Oct,1993,148.5
Nov,1993,96.2
Dec,1993,180.3
Jan,1994,231.9
Feb,1994,170.8
Mar,1994,252.3
Apr,1994,99.9
May,1994,40.7
Jun,1994,31.9
Jul,1994,26.1
Aug,1994,3.1
Sep,1994,1.3
Oct,1994,126.8
Nov,1994,122.8
Dec,1994,311.1
Jan,1995,379
Feb,1995,445.5
Mar,1995,304.1
Apr,1995,64.9
May,1995,74.4
Jun,1995,58.7
Jul,1995,47.1
Aug,1995,16.7
Sep,1995,41.5
Oct,1995,229.9
Nov,1995,97.7
Dec,1995,202
Jan,1996,354.9
Feb,1996,305.6
Mar,1996,396.8
Apr,1996,81.7
May,1996,33.1
Jun,1996,54.1
Jul,1996,7.2
Aug,1996,31.6
Sep,1996,178.9
Oct,1996,154
Nov,1996,93.9
Dec,1996,331.4
Jan,1997,313.3
Feb,1997,181.1
Mar,1997,76
Apr,1997,71.6
May,1997,75
Jun,1997,122.5
Jul,1997,10
Aug,1997,22.3
Sep,1997,140.9
Oct,1997,96.1
Nov,1997,220.1
Dec,1997,255.4
Jan,1998,200.6
Feb,1998,394.2
Mar,1998,252.9
Apr,1998,92.8
May,1998,130
Jun,1998,16.1
Jul,1998,10.1
Aug,1998,42.5
Sep,1998,95
Oct,1998,216.4
Nov,1998,38.6
Dec,1998,241.2
Jan,1999,319.1
Feb,1999,369.8
Mar,1999,187.3
Apr,1999,35.8
May,1999,35.5
Jun,1999,84.3
Jul,1999,25.6
Aug,1999,1.4
Sep,1999,80.1
Oct,1999,62
Nov,1999,101.4
Dec,1999,74.6
Jan,2000,328.3
Feb,2000,246.6
Mar,2000,100.1
Apr,2000,6.3
May,2000,9.3
Jun,2000,12.2
Jul,2000,65.6
Aug,2000,86.3
Sep,2000,111.1
Oct,2000,59
Nov,2000,186
Dec,2000,249.7
Jan,2001,144.2
Feb,2001,290.1
Mar,2001,138.5
Apr,2001,32.9
May,2001,86.1
Jun,2001,24.5
Jul,2001,41
Aug,2001,32.8
Sep,2001,88.5
Oct,2001,204.3
Nov,2001,185.2
Dec,2001,187
Jan,2002,284.8
Feb,2002,172.5
Mar,2002,326.5
Apr,2002,53.5
May,2002,93
Jun,2002,1.3
Jul,2002,22.9
Aug,2002,46.4
Sep,2002,54.8
Oct,2002,124.9
Nov,2002,226.5
Dec,2002,235.3
Jan,2003,317.2
Feb,2003,109.4
Mar,2003,126.5
Apr,2003,45.6
May,2003,33.1
Jun,2003,16
Jul,2003,19
Aug,2003,25.3
Sep,2003,34.5
Oct,2003,126.7
Nov,2003,99.3
Dec,2003,139.8
Jan,2004,284.5
Feb,2004,335.6
Mar,2004,130.7
Apr,2004,123.4
May,2004,60.1
Jun,2004,66.8
Jul,2004,97.4
Aug,2004,2.7
Sep,2004,9.3
Oct,2004,97.4
Nov,2004,173.6
Dec,2004,262.9
Jan,2005,312.1
Feb,2005,99.9
Mar,2005,286.6
Apr,2005,133.2
May,2005,199
Jun,2005,30.4
Jul,2005,13.7
Aug,2005,9.5
Sep,2005,138.8
Oct,2005,172.1
Nov,2005,106.1
Dec,2005,228.2
Jan,2006,348
Feb,2006,166
Mar,2006,607.9
Apr,2006,51.1
May,2006,15
Jun,2006,24.2
Jul,2006,71
Aug,2006,5.8
Sep,2006,77.7
Oct,2006,100.4
Nov,2006,230.7
Dec,2006,311.5
Jan,2007,213.5
Feb,2007,285.9
Mar,2007,185.4
Apr,2007,124.8
May,2007,59
Jun,2007,30.7
Jul,2007,148.3
Aug,2007,0
Sep,2007,15.7
Oct,2007,109.3
Nov,2007,219.9
Dec,2007,230.9
Jan,2008,318.5
Feb,2008,236.3
Mar,2008,180.8
Apr,2008,96.6
May,2008,80.3
Jun,2008,78.2
Jul,2008,0
Aug,2008,78.5
Sep,2008,43.9
Oct,2008,161.4
Nov,2008,165.1
Dec,2008,220.2
Jan,2009,351.8
Feb,2009,200.2
Mar,2009,125.7
Apr,2009,69.6
May,2009,50
Jun,2009,49.8
Jul,2009,179.7
Aug,2009,102.8
Sep,2009,192.2
Oct,2009,154.5
Nov,2009,177.3
Dec,2009,363.7
Jan,2010,480.5
Feb,2010,296.5
Mar,2010,184.5
Apr,2010,124.5
May,2010,65.2
Jun,2010,13.1
Jul,2010,93.5
Aug,2010,0.4
Sep,2010,104.8
Oct,2010,70.1
Nov,2010,109.6
Dec,2010,343.1
Jan,2011,493.7
Feb,2011,311.5
Mar,2011,164
Apr,2011,133
May,2011,30.4
Jun,2011,81.6
Jul,2011,4.5
Aug,2011,46.3
Sep,2011,7.4
Oct,2011,149.6
Nov,2011,141.3
Dec,2011,136.8
Jan,2012,332.6
Feb,2012,224.2
Mar,2012,187.6
Apr,2012,155.9
May,2012,82.7
Jun,2012,233.7
Jul,2012,74.7
Aug,2012,0.3
Sep,2012,19.2
Oct,2012,128.3
Nov,2012,91.6
Dec,2012,401.9
Jan,2013,169.2
Feb,2013,278
Mar,2013,174.5
Apr,2013,70.7
May,2013,42.5
Jun,2013,143.2
Jul,2013,90.9
Aug,2013,7.7
Sep,2013,81.3
Oct,2013,126.6
Nov,2013,123.6
Dec,2013,83.1
Jan,2014,237.9
Feb,2014,197.6
Mar,2014,226.9
Apr,2014,79.7
May,2014,46
Jun,2014,9.7
Jul,2014,21.4
Aug,2014,29.6
Sep,2014,58.7
Oct,2014,25.2
Nov,2014,117.5
Dec,2014,203.1
Jan,2015,156.2
Feb,2015,273
Mar,2015,332.7
Apr,2015,108.1
May,2015,50.7
Jun,2015,20.3
Jul,2015,65.1
Aug,2015,31.6
Sep,2015,201.7
Oct,2015,92.1
Nov,2015,247.2
Dec,2015,318.1
Jan,2016,175.9
