Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-.19,-.25,-.09,-.16,-.10,-.21,-.18,-.10,-.14,-.23,-.21,-.18
1881,-.20,-.14,.03,.05,.06,-.19,.00,-.04,-.16,-.22,-.19,-.07
1882,.16,.14,.04,-.17,-.15,-.23,-.16,-.07,-.14,-.24,-.17,-.36
1883,-.29,-.36,-.13,-.18,-.18,-.07,-.08,-.15,-.22,-.12,-.24,-.12
1884,-.13,-.09,-.37,-.40,-.34,-.35,-.31,-.29,-.27,-.25,-.34,-.31
1885,-.58,-.34,-.27,-.42,-.45,-.44,-.34,-.32,-.28,-.24,-.25,-.11
1886,-.44,-.51,-.43,-.28,-.25,-.35,-.18,-.31,-.24,-.28,-.28,-.26
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.27,-.33
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.10,-.16,-.12,.01,.03,-.04
1889,-.09,.16,.06,.09,-.01,-.10,-.08,-.21,-.24,-.26,-.34,-.29
1890,-.42,-.45,-.40,-.30,-.40,-.25,-.28,-.40,-.37,-.25,-.44,-.32
1891,-.34,-.47,-.18,-.27,-.17,-.21,-.18,-.18,-.16,-.22,-.32,-.05
1892,-.30,-.11,-.40,-.33,-.24,-.22,-.32,-.27,-.17,-.14,-.42,-.39
1893,-.80,-.56,-.22,-.27,-.34,-.25,-.14,-.25,-.22,-.18,-.18,-.31
1894,-.52,-.29,-.23,-.44,-.31,-.40,-.24,-.24,-.28,-.22,-.25,-.20
1895,-.40,-.42,-.32,-.22,-.27,-.21,-.16,-.17,-.12,-.10,-.16,-.13
1896,-.22,-.12,-.26,-.30,-.16,-.11,-.02,-.05,-.07,.06,-.04,-.04
1897,-.15,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.13,-.17,-.20
1898,-.02,-.30,-.51,-.31,-.30,-.19,-.22,-.27,-.21,-.34,-.38,-.23
1899,-.16,-.38,-.35,-.20,-.22,-.31,-.16,-.09,-.05,-.04,.13,-.26
1900,-.36,-.05,.01,-.08,-.09,-.10,-.13,-.09,-.05,.10,-.06,-.07
1901,-.21,-.11,.06,-.02,-.15,-.11,-.14,-.20,-.22,-.28,-.16,-.26
1902,-.15,-.08,-.26,-.27,-.32,-.31,-.27,-.30,-.28,-.29,-.36,-.42
1903,-.23,-.05,-.23,-.40,-.39,-.42,-.34,-.45,-.49,-.46,-.41,-.50
1904,-.62,-.58,-.50,-.50,-.51,-.48,-.50,-.49,-.55,-.38,-.17,-.33
1905,-.34,-.58,-.21,-.33,-.29,-.28,-.26,-.20,-.18,-.24,-.06,-.12
1906,-.28,-.29,-.18,-.04,-.26,-.19,-.22,-.19,-.28,-.19,-.37,-.14
