Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,259.3,32.5,54,96.8,113,0.1,26.7,110.6,162.5,31.1,140,139.6
1985,190.1,281.4,166.9,31.4,107.2,14.2,0.6,21.6,110.1,11.2,86,176.3
1986,250.7,268.4,230.6,84.9,84.6,2.4,28.1,97.2,34.7,43.9,155.6,383.2
1987,442.3,177.5,178.5,91.5,241.2,195.9,10.7,17.4,59.2,89.9,96.1,146.3
1988,293.4,284.7,203.6,173.4,210.8,58.8,2.2,2.6,34.7,170.1,85.7,279.6
1989,359.2,326.5,185.1,96.2,30.4,44.4,144.7,32.3,82.2,65.4,82.4,121.7
1990,280.7,152.8,228.8,77.1,52.8,39.2,121,49.6,96.1,117.6,76,124.7
1991,270.7,358,451.3,169,34.2,85.8,26.2,39.3,65.6,153.9,48,220.6
1992,203.4,184,273.7,59.3,71.4,18.6,39.1,25.8,180.6,177.5,213.8,201
1993,248.7,265.6,92.5,118.4,101.2,57.5,15.2,52.1,206.7,148.5,96.2,180.3
1994,231.9,170.8,252.3,99.9,40.7,31.9,26.1,3.1,1.3,126.8,122.8,311.1
1995,379,445.5,304.1,64.9,74.4,58.7,47.1,16.7,41.5,229.9,97.7,202
1996,354.9,305.6,396.8,81.7,33.1,54.1,7.2,31.6,178.9,154,93.9,331.4
1997,313.3,181.1,76,71.6,75,122.5,10,22.3,140.9,96.1,220.1,255.4
1998,200.6,394.2,252.9,92.8,130,16.1,10.1,42.5,95,216.4,38.6,241.2
1999,319.1,369.8,187.3,35.8,35.5,84.3,25.6,1.4,80.1,62,101.4,74.6
2000,328.3,246.6,100.1,6.3,9.3,12.2,65.6,86.3,111.1,59,186,249.7
2001,144.2,290.1,138.5,32.9,86.1,24.5,41,32.8,88.5,204.3,185.2,187
2002,284.8,172.5,326.5,53.5,93,1.3,22.9,46.4,54.8,124.9,226.5,235.3
2003,317.2,109.4,126.5,45.6,33.1,16,19,25.3,34.5,126.7,99.3,139.8
2004,284.5,335.6,130.7,123.4,60.1,66.8,97.4,2.7,9.3,97.4,173.6,262.9
2005,312.1,99.9,286.6,133.2,199,30.4,13.7,9.5,138.8,172.1,106.1,228.2
2006,348,166,607.9,51.1,15,24.2,71,5.8,77.7,100.4,230.7,311.5
2007,213.5,285.9,185.4,124.8,59,30.7,148.3,0,15.7,109.3,219.9,230.9
2008,318.5,236.3,180.8,96.6,80.3,78.2,0,78.5,43.9,161.4,165.1,220.2
2009,351.8,200.2,125.7,69.6,50,49.8,179.7,102.8,192.2,154.5,177.3,363.7
2010,480.5,296.5,184.5,124.5,65.2,13.1,93.5,0.4,104.8,70.1,109.6,343.1
2011,493.7,311.5,164,133,30.4,81.6,4.5,46.3,7.4,149.6,141.3,136.8
2012,332.6,224.2,187.6,155.9,82.7,233.7,74.7,0.3,19.2,128.3,91.6,401.9
2013,169.2,278,174.5,70.7,42.5,143.2,90.9,7.7,81.3,126.6,123.6,83.1
2014,237.9,197.6,226.9,79.7,46,9.7,21.4,29.6,58.7,25.2,117.5,203.1
2015,156.2,273,332.7,108.1,50.7,20.3,65.1,31.6,201.7,92.1,247.2,318.1
2016,175.9,275.1,256.6,2.4,105.7,206.8,6.4,82.4,22.2,104.1,166.8,165.4
2017,454,127.3,160.4,143.1,153.4,102.9,0.8,60.5,11.1,149.4,159.8,151.3
