Country,Supercontinent,Continent,UN_Region,Area_km2,Pop_2016,HDI_2017,Code,GDP_NOM_2017,GDP_PPP_2017
Kazakhstan,Eurasia,Asia,Central Asia,2724902,17794055,0.800,KAZ,9030.383889,24862.9661245889
Kyrgystan,Eurasia,Asia,Central Asia,199949,6079500,0.655,KGZ,1219.824048,5046.69153549095
Tajikistan,Eurasia,Asia,Central Asia,141376,8734951,0.650,TJK,801.0508713,3236.43934350302
Turkmenistan,Eurasia,Asia,Central Asia,488100,5662544,0.706,TKM,6586.625863,13703.5127239741
Uzbekistan,Eurasia,Asia,Central Asia,447400,31847900,0.710,UZB,1533.852038,6840.70986001705
Brunei,Eurasia,Asia,Southeast Asia,5770,423196,0.853,BRN,28290.5852,60173.0511336013
Cambodia,Eurasia,Asia,Southeast Asia,181040,15762370,0.582,KHM,1384.423187,3972.72416392795
East Timor,Eurasia,Asia,Southeast Asia,14870,1268671,0.625,TLS,2279.253204,3138.43882271123
Indonesia,Eurasia,Asia,Southeast Asia,1910931,261115456,0.694,IDN,3846.864323,10941.9209510231
Laos,Eurasia,Asia,Southeast Asia,236800,6758353,0.601,LAO,2457.377414,7211.25908924885
Malaysia,Eurasia,Asia,Southeast Asia,330800,31187265,0.802,MYS,9951.544153,25935.1395225396
Myanmar,Eurasia,Asia,Southeast Asia,676590,52885223,0.578,MMR,1256.660675,4312.94738940376
Philippines,Eurasia,Asia,Southeast Asia,300000,103320222,0.699,PHL,2988.952703,8001.75648006143
Singapore,Eurasia,Asia,Southeast Asia,719,5607283,0.932,SGP,57714.29663,95334.1455686864
Thailand,Eurasia,Asia,Southeast Asia,513120,68863514,0.755,THA,6595.004125,17008.0384242563
Vietnam,Eurasia,Asia,Southeast Asia,330967,94569072,0.694,VNM,2342.244003,9050.68853386204
Turkey,Eurasia,Asia,Western Asia,785350,79512426,0.791,TUR,10546.15256,27582.8323486902
Bahrain,Eurasia,Asia,Western Asia,771,1425171,0.846,BHR,23655.0356,48929.4470119951
Kuwait,Eurasia,Asia,Western Asia,17820,4052584,0.803,KWT,29040.36371,50007.2995366017
Oman,Eurasia,Asia,Western Asia,309500,4424762,0.821,OMN,15668.36663,34218.3881261022
Qatar,Eurasia,Asia,Western Asia,11610,2569804,0.856,QAT,63249.42243,92177.595943793
