Decade,Europe,Mainland North America,British Caribbean,French Caribbean,Dutch Americas,Danish West Indies,Spanish Americas,Brazil,Africa
1501-1510,0,0,0,0,0,0,1900,0,0
1511-1520,637,0,0,0,0,0,8807,0,0
1521-1530,0,0,0,0,0,0,10990,0,0
1531-1540,0,0,0,0,0,0,14402,0,0
1541-1550,0,0,0,0,0,0,27390,0,0
1551-1560,0,0,0,0,0,0,5742,0,0
1561-1570,0,0,0,0,0,0,39101,1624,0
1571-1580,0,0,0,0,0,0,26146,3310,0
1581-1590,0,0,0,0,0,0,47627,9264,0
1591-1600,266,0,0,0,0,0,59812,20488,0
1601-1610,0,0,681,0,0,0,50664,40581,0
1611-1620,120,0,0,0,0,0,62908,85904,0
1621-1630,0,141,0,0,0,0,72340,111013,0
1631-1640,0,0,0,0,0,0,50558,69641,0
1641-1650,0,0,34045,628,0,0,17892,70510,267
1651-1660,0,1416,23902,3205,10004,0,28932,85810,2418
1661-1670,1167,3222,61927,13958,29513,0,10896,108563,293
1671-1680,1828,3130,70195,8354,40589,244,6162,91131,759
1681-1690,0,3529,110990,13250,39184,2694,4620,86297,0
1691-1700,524,8518,103378,10960,26690,19672,8329,160911,575
1701-1710,0,16376,128279,17920,29250,6127,21196,174892,202
1711-1720,0,16072,140243,54200,19495,2363,18475,202560,0
1721-1730,1255,44606,178447,66001,29941,3415,15085,209319,323
1731-1740,3275,75202,171716,100382,31823,1390,7691,206337,186
1741-1750,467,25843,153287,118923,37664,3249,8042,219010,103
1751-1760,1230,52160,204423,117764,40855,9463,1722,215012,329
1761-1770,0,57012,298801,158721,60020,8419,22849,213041,98
1771-1780,0,37624,282986,167961,47873,7705,777,210497,243
1781-1790,28,16670,249428,288016,18746,14952,24822,254899,431
1791-1800,0,17279,332209,88631,23891,24717,54779,305363,1537
1801-1810,0,87493,199072,19644,23565,16070,88992,381143,7576
1811-1820,0,5506,6896,25211,937,0,128735,501470,17088
1821-1830,0,105,1565,53861,4152,9079,160838,581173,44975
1831-1840,0,0,10350,833,0,307,222690,416382,35722
1841-1850,0,0,592,0,0,0,63345,487161,45444
1851-1860,0,476,0,0,0,0,151573,8812,10556
1861-1870,0,0,0,0,0,0,44415,0,9776
