geonameid,asciiname,latitude,longitude,country_code,population,timezone
14256,Azadshahr,34.79049,48.57011,IR,514102,Asia/Tehran
18918,Protaras,35.0125,34.05833,CY,20230,Asia/Nicosia
23814,Kahriz,34.3838,47.0553,IR,766706,Asia/Tehran
24851,Nurabad,34.0734,47.9725,IR,73528,Asia/Tehran
32723,Istgah-e Rah Ahan-e Garmsar,35.23455,52.30942,IR,49491,Asia/Tehran
32767,Qarchak,35.42867,51.57544,IR,251834,Asia/Tehran
32904,Shahrak-e Emam Hasan-e Mojtaba,35.48333,51.35,IR,5394,Asia/Tehran
32909,Shahre Jadide Andisheh,35.6803,51.0193,IR,80000,Asia/Tehran
37767,Omidcheh,38.28667,48.14139,IR,1710,Asia/Tehran
39874,Aq Qayeh,37.27472,55.15889,IR,5114,Asia/Tehran
41210,Khorramdarreh,36.20898,49.19152,IR,50528,Asia/Tehran
49593,Yeed,4.55,43.03333,SO,8429,Africa/Mogadishu
49747,Xuddur,4.12129,43.88945,SO,12500,Africa/Mogadishu
50064,Xarardheere,4.6544,47.8575,SO,2018,Africa/Mogadishu
50672,Wanlaweyn,2.6185,44.8938,SO,22022,Africa/Mogadishu
50814,Waajid,3.80958,43.24627,SO,6666,Africa/Mogadishu
51299,Tayeeglow,4.01897,44.51111,SO,2119,Africa/Mogadishu
52381,Saacow,1.62794,42.44067,SO,7893,Africa/Mogadishu
52867,Qoryooley,1.78784,44.52999,SO,51720,Africa/Mogadishu
53157,Qandala,11.47197,49.87282,SO,15923,Africa/Mogadishu
53372,Oodweyne,9.4092,45.06397,SO,5491,Africa/Mogadishu
53654,Mogadishu,2.03711,45.34375,SO,2587183,Africa/Mogadishu
54225,Marka,1.71594,44.77166,SO,230100,Africa/Mogadishu
54460,Mahaddayweyne,2.9726,45.5347,SO,8273,Africa/Mogadishu
54715,Luuq,3.80315,42.54417,SO,33820,Africa/Mogadishu
55223,Las Khorey,11.1595,48.1967,SO,6941,Africa/Mogadishu
55671,Kismayo,-0.35817,42.54536,SO,234852,Africa/Mogadishu
56166,Jilib,0.48829,42.78535,SO,43694,Africa/Mogadishu
56335,Jawhar,2.78087,45.50048,SO,47086,Africa/Mogadishu
56399,Jamaame,0.06968,42.74497,SO,185270,Africa/Mogadishu
56414,Jalalaqsi,3.3766,45.5996,SO,9743,Africa/Mogadishu
56505,Iskushuban,10.2837,50.23,SO,5759,Africa/Mogadishu
57000,Hobyo,5.3505,48.5268,SO,12564,Africa/Mogadishu
57289,Hargeysa,9.56,44.065,SO,477876,Africa/Mogadishu
58933,Garoowe,8.40207,48.48284,SO,57300,Africa/Mogadishu
58994,Garbahaarrey,3.32892,42.22091,SO,12652,Africa/Mogadishu
59611,Gaalkacyo,6.76972,47.43083,SO,61200,Africa/Mogadishu
60019,Eyl,7.9803,49.8164,SO,18904,Africa/Mogadishu
60457,Dujuuma,1.25311,42.57377,SO,2432,Africa/Mogadishu
60928,Dhuusamarreeb,5.53597,46.38666,SO,9000,Africa/Mogadishu
62691,Ceerigaabo,10.61616,47.36795,SO,33853,Africa/Mogadishu
62788,Ceeldheer,3.84878,47.18064,SO,26562,Africa/Mogadishu
62821,Ceelbuur,4.68501,46.6176,SO,9031,Africa/Mogadishu
62854,Ceek,8.99907,45.35824,SO,4325,Africa/Mogadishu
63344,Cadale,2.7603,46.3222,SO,5385,Africa/Mogadishu
63571,Buurhakaba,2.80257,44.07805,SO,27792,Africa/Mogadishu
63580,Buur Gaabo,-1.21933,41.83736,SO,3096,Africa/Mogadishu
