geonameid,asciiname,latitude,longitude,country_code,population,timezone
49593,Yeed,4.55,43.03333,SO,8429,Africa/Mogadishu
49747,Xuddur,4.12129,43.88945,SO,12500,Africa/Mogadishu
50064,Xarardheere,4.6544,47.8575,SO,2018,Africa/Mogadishu
50672,Wanlaweyn,2.6185,44.8938,SO,22022,Africa/Mogadishu
50814,Waajid,3.80958,43.24627,SO,6666,Africa/Mogadishu
51299,Tayeeglow,4.01897,44.51111,SO,2119,Africa/Mogadishu
52381,Saacow,1.62794,42.44067,SO,7893,Africa/Mogadishu
52867,Qoryooley,1.78784,44.52999,SO,51720,Africa/Mogadishu
53157,Qandala,11.47197,49.87282,SO,15923,Africa/Mogadishu
53372,Oodweyne,9.4092,45.06397,SO,5491,Africa/Mogadishu
53654,Mogadishu,2.03711,45.34375,SO,2587183,Africa/Mogadishu
54225,Marka,1.71594,44.77166,SO,230100,Africa/Mogadishu
54460,Mahaddayweyne,2.9726,45.5347,SO,8273,Africa/Mogadishu
54715,Luuq,3.80315,42.54417,SO,33820,Africa/Mogadishu
55223,Las Khorey,11.1595,48.1967,SO,6941,Africa/Mogadishu
55671,Kismayo,-0.35817,42.54536,SO,234852,Africa/Mogadishu
56166,Jilib,0.48829,42.78535,SO,43694,Africa/Mogadishu
56335,Jawhar,2.78087,45.50048,SO,47086,Africa/Mogadishu
56399,Jamaame,0.06968,42.74497,SO,185270,Africa/Mogadishu
56414,Jalalaqsi,3.3766,45.5996,SO,9743,Africa/Mogadishu
56505,Iskushuban,10.2837,50.23,SO,5759,Africa/Mogadishu
57000,Hobyo,5.3505,48.5268,SO,12564,Africa/Mogadishu
57289,Hargeysa,9.56,44.065,SO,477876,Africa/Mogadishu
58933,Garoowe,8.40207,48.48284,SO,57300,Africa/Mogadishu
58994,Garbahaarrey,3.32892,42.22091,SO,12652,Africa/Mogadishu
59611,Gaalkacyo,6.76972,47.43083,SO,61200,Africa/Mogadishu
60019,Eyl,7.9803,49.8164,SO,18904,Africa/Mogadishu
60457,Dujuuma,1.25311,42.57377,SO,2432,Africa/Mogadishu
60928,Dhuusamarreeb,5.53597,46.38666,SO,9000,Africa/Mogadishu
62691,Ceerigaabo,10.61616,47.36795,SO,33853,Africa/Mogadishu
62788,Ceeldheer,3.84878,47.18064,SO,26562,Africa/Mogadishu
62821,Ceelbuur,4.68501,46.6176,SO,9031,Africa/Mogadishu
62854,Ceek,8.99907,45.35824,SO,4325,Africa/Mogadishu
63344,Cadale,2.7603,46.3222,SO,5385,Africa/Mogadishu
63571,Buurhakaba,2.80257,44.07805,SO,27792,Africa/Mogadishu
63580,Buur Gaabo,-1.21933,41.83736,SO,3096,Africa/Mogadishu
63689,Buulobarde,3.85375,45.56744,SO,16928,Africa/Mogadishu
63795,Burao,9.52213,45.53363,SO,99270,Africa/Mogadishu
64013,Bosaso,11.28421,49.18158,SO,74287,Africa/Mogadishu
64412,Bereeda,11.87037,51.05795,SO,11262,Africa/Mogadishu
64435,Berbera,10.43959,45.01432,SO,242344,Africa/Mogadishu
64460,Beledweyne,4.73583,45.20361,SO,55410,Africa/Mogadishu
64536,Baidoa,3.11383,43.6498,SO,129839,Africa/Mogadishu
64670,Bargaal,11.28636,51.0773,SO,6798,Africa/Mogadishu
64814,Bandarbeyla,9.4942,50.8122,SO,13753,Africa/Mogadishu
65170,Baardheere,2.34464,42.27644,SO,42240,Africa/Mogadishu
65785,Afgooye,2.1381,45.1212,SO,65461,Africa/Mogadishu
80509,Bardiyah,31.75615,25.08653,LY,9149,Africa/Tripoli
81302,Tobruk,32.08361,23.97639,LY,121052,Africa/Tripoli
81604,Suluq,31.66818,20.25205,LY,15543,Africa/Tripoli
86049,Gialo,29.03333,21.55,LY,3334,Africa/Tripoli
87205,Darnah,32.76704,22.63669,LY,78782,Africa/Tripoli
88319,Benghazi,32.11486,20.06859,LY,650629,Africa/Tripoli
88380,Az Zuwaytinah,30.9522,20.12022,LY,21015,Africa/Tripoli
88533,Awjilah,29.10806,21.28694,LY,6610,Africa/Tripoli
88562,At Taj,24.20487,23.2857,LY,46050,Africa/Tripoli
88834,Tukrah,32.53414,20.57911,LY,23164,Africa/Tripoli
88835,Al Qubbah,32.76163,22.24237,LY,24631,Africa/Tripoli
88903,Al Marj,32.48798,20.83174,LY,85315,Africa/Tripoli
88962,Al Jawf,24.1989,23.29093,LY,17320,Africa/Tripoli
